created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2026-07-20T03:25:39+00:00,1,33.6,27.1,77.2,7.8,12.2,32.9,32.4,,,,
2026-07-20T03:27:04+00:00,2,32.6,26.9,77.4,7,12.3,33,32.5,,,,
2026-07-20T03:37:42+00:00,3,32.3,26.9,77,5.7,12.2,32.8,32.3,,,,
2026-07-20T03:39:27+00:00,4,31.4,27,77,5.6,12.2,32.8,32.3,,,,
2026-07-20T03:44:35+00:00,5,32.6,27,76.6,5.3,12.1,32.6,32.1,,,,
2026-07-20T04:40:13+00:00,6,48.2,27.5,66.4,5.6,10,27.7,27.2,,,,
2026-07-20T04:50:52+00:00,7,44.8,27.5,66.5,4.9,10,27.7,27.2,,,,
2026-07-20T05:04:28+00:00,8,46.2,27.5,66.5,4.4,10,27.7,27.2,,,,
2026-07-20T05:47:26+00:00,9,32.1,27.5,21.2,5.9,0.5,5.9,5.1,,,,
2026-07-20T05:50:38+00:00,10,32.1,27.5,21.2,5.6,0.5,5.9,5.1,,,,
2026-07-21T09:35:45+00:00,11,0,0,0,0,0,0,0,,,,
2026-07-21T10:21:45+00:00,12,0,0,0,0,0,0,0,,,,
2026-07-22T08:14:02+00:00,13,0,0,0,0,0,0,0,,,,
2026-07-22T08:49:16+00:00,14,0,0,0,0,0,0,0,,,,
2026-07-23T04:54:43+00:00,15,99,,,,,,,,,,
2026-07-23T05:13:51+00:00,16,99,,,,,,,,,,
2026-07-23T05:15:39+00:00,17,99,,,,,,,,,,
2026-07-23T05:20:50+00:00,18,0,29.2,0,9,0,0,0,,,,
2026-07-23T05:21:12+00:00,19,0,29.2,0,9,0,0,0,,,,
2026-07-23T05:21:34+00:00,20,5.3,29.2,0,9,0,0,0,,,,
2026-07-23T05:21:56+00:00,21,0,33.6,0,9,0,0,0,,,,
2026-07-23T05:22:19+00:00,22,2.3,32.9,0,7.3,0,0,0,,,,
2026-07-23T05:22:43+00:00,23,0,32.1,0,9,0,0,0,,,,
2026-07-23T05:23:08+00:00,24,0,31.6,0,9,0,0,0,,,,
2026-07-23T05:23:54+00:00,25,37.9,31.3,14.2,8.4,0,2.5,1.7,,,,
2026-07-23T05:24:18+00:00,26,35,33.6,16,9,0,3.4,2.6,,,,
2026-07-23T05:24:42+00:00,27,0,34.1,0,9,0,0,0,,,,
2026-07-23T05:25:05+00:00,28,0,33.2,0,9,0,0,0,,,,
2026-07-23T05:25:29+00:00,29,0,32.3,0,9,0,0,0,,,,
2026-07-23T05:25:50+00:00,30,0,31.7,0,8.7,0,0,0,,,,
2026-07-23T05:26:13+00:00,31,2.2,31.3,0,8.9,0,0,0,,,,
2026-07-23T05:26:36+00:00,32,2.1,30.8,0,8.3,0,0,0,,,,
2026-07-23T05:26:59+00:00,33,0,30.7,0,8.8,0,0,0,,,,
2026-07-23T05:27:21+00:00,34,0,30.5,0,8.8,0,0,0,,,,
2026-07-23T05:27:44+00:00,35,0,30.3,0,8.3,0,0,0,,,,
2026-07-23T05:28:08+00:00,36,25.8,33.6,15.2,9,0,3,2.2,,,,
2026-07-23T05:28:31+00:00,37,25.6,34.5,15.4,9,0,3.1,2.3,,,,
2026-07-23T05:28:54+00:00,38,24,34.7,15.3,9,0,3.1,2.3,,,,
2026-07-23T05:29:17+00:00,39,23.4,34.7,15.2,9,0,3,2.2,,,,
2026-07-23T05:29:39+00:00,40,2.4,34.8,0,9,0,0,0,,,,
2026-07-23T05:30:03+00:00,41,0,33.9,0,9,0,0,0,,,,
2026-07-23T05:30:27+00:00,42,0,32.9,0,9,0,0,0,,,,
2026-07-23T05:30:48+00:00,43,0,32.3,0,9,0,0,0,,,,
2026-07-23T05:31:36+00:00,44,0,31.5,0,9,0,0,0,,,,
2026-07-23T05:36:13+00:00,45,2.9,30.1,0,9,0,0,0,,,,
2026-07-23T05:36:34+00:00,46,2.1,30,0,9,0,0,0,,,,
2026-07-23T05:36:56+00:00,47,0,29.8,0,8.8,0,0,0,,,,
2026-07-23T05:37:18+00:00,48,0,29.8,0,9,0,0,0,,,,
2026-07-23T05:37:39+00:00,49,0,29.7,0,9,0,0,0,,,,
2026-07-23T05:38:01+00:00,50,0,29.6,0,9,0,0,0,,,,
2026-07-23T05:38:23+00:00,51,0,29.6,0,9,0,0,0,,,,
2026-07-23T05:38:45+00:00,52,0,29.5,0,9,0,0,0,,,,
2026-07-23T05:39:07+00:00,53,2.1,29.5,0,9,0,0,0,,,,
2026-07-23T05:39:29+00:00,54,2,29.5,0,9,0,0,0,,,,
2026-07-23T05:39:51+00:00,55,0,29.5,0,9,0,0,0,,,,
2026-07-23T05:40:13+00:00,56,2.2,29.5,0,9,0,0,0,,,,
